ablation,arrival_count,average_communication_delay_s,average_end_to_end_delay_s,average_energy_j,average_reward_per_request,average_slot_crossings,bandit_action_count,bandit_updated,epoch,execution_agent,failure_count,feasible_count,p95_end_to_end_delay_s,processed_request_count,request_count,route_estimate_cache_hits,route_estimate_cache_misses,route_mode_local_count,route_mode_min_cost_max_flow_count,routing_precomputed_nodes,routing_precomputed_slots,routing_route_result_hits,routing_route_result_misses,routing_shortest_path_hits,routing_shortest_path_misses,seed,service_routing_strategy,slot_duration_s,slot_mod,slot_start_time_s,success_rate,task_completion_rate,total_reward
sc_nfv,6,1.7496120645500863,45.39596794944354,1881.8358305750937,-19.28748867812247,0.10714285714285714,0,False,58,SCNFVChainingOrbitExecutionAgent,0,6,70.98621872579474,6,6,5224,51408,2,54,180,606,2226,51561,0,0,44,min_cost_max_flow,10.0,57,570.0,1.0,1.0,-115.72493206873483
sc_nfv,2,2.081334521710794,49.525942348678484,1942.5073652578403,-20.975881358626097,0.11764705882352941,0,False,59,SCNFVChainingOrbitExecutionAgent,0,2,72.97276932500131,2,2,5255,51802,,17,180,606,2243,51955,0,0,44,min_cost_max_flow,10.0,58,580.0,1.0,1.0,-41.951762717252194
sc_nfv,9,1.485543080515172,41.185828883198695,1820.184858358106,-17.56644246829434,0.08333333333333333,4,True,60,SCNFVChainingOrbitExecutionAgent,0,9,70.25838374724049,9,9,5457,53643,6,78,180,606,2326,53818,0,0,44,min_cost_max_flow,10.0,59,590.0,1.0,1.0,-158.09798221464908
sc_nfv,5,1.4142521056233188,57.46800754485025,2595.874256995504,-24.544727572137408,0.13846153846153847,0,False,61,SCNFVChainingOrbitExecutionAgent,0,5,74.34277675190378,5,5,5574,54981,2,63,180,606,2391,55156,0,0,44,min_cost_max_flow,10.0,60,600.0,1.0,1.0,-122.72363786068703
sc_nfv,4,1.600037139072586,36.905905712064595,1429.6438684052769,-15.620148605869005,0.20512820512820512,0,False,62,SCNFVChainingOrbitExecutionAgent,0,4,60.696120268399795,4,4,5645,55863,,39,180,606,2430,56038,0,0,44,min_cost_max_flow,10.0,61,610.0,1.0,1.0,-62.48059442347602
sc_nfv,6,1.6982800709411068,33.34304472255379,1386.1908293496472,-14.168932386631305,0.12195121951219512,0,False,63,SCNFVChainingOrbitExecutionAgent,0,6,74.36038303873033,6,6,5713,56921,,41,180,606,2471,57096,0,0,44,min_cost_max_flow,10.0,62,620.0,1.0,1.0,-85.01359431978783
sc_nfv,5,1.5451201710708005,35.170162744626076,1449.7401055467155,-14.937909161178462,0.125,0,False,64,SCNFVChainingOrbitExecutionAgent,0,5,81.4419711497552,5,5,5778,57857,,40,180,606,2511,58032,0,0,44,min_cost_max_flow,10.0,63,630.0,1.0,1.0,-74.68954580589231
sc_nfv,6,1.7953879402659056,48.80680728194087,2107.052352640392,-20.786954324360583,0.1956521739130435,0,False,65,SCNFVChainingOrbitExecutionAgent,0,6,91.87896710443397,6,6,5855,58987,,46,180,606,2557,59162,0,0,44,min_cost_max_flow,10.0,64,640.0,1.0,1.0,-124.7217259461635
sc_nfv,7,2.140735692936426,45.41488072517575,1794.458598077768,-19.24262744891696,0.21052631578947367,0,False,66,SCNFVChainingOrbitExecutionAgent,0,7,78.32739388540563,7,7,5958,60328,2,55,180,606,2614,60503,0,0,44,min_cost_max_flow,10.0,65,650.0,1.0,1.0,-134.69839214241873
sc_nfv,3,2.1175355340004733,32.10761787064083,1191.898188283738,-13.558186061226573,0.16666666666666666,0,False,67,SCNFVChainingOrbitExecutionAgent,0,3,37.43235256128787,3,3,5992,60806,,18,180,606,2632,60981,0,0,44,min_cost_max_flow,10.0,66,660.0,1.0,1.0,-40.67455818367972
